,name,sal,team
0,Gordon Hayward,29727900,BOS
1,Al Horford,27734405,BOS
2,Greg Monroe,21384175,BOS
3,Kyrie Irving,18868626,BOS
4,Jaylen Brown,4956480,BOS
5,Aron Baynes,4300000,BOS
6,Terry Rozier,1988520,BOS
7,Shane Larkin,1524305,BOS
8,Semi Ojeleye,1291892,BOS
9,Abdel Nader,1167333,BOS
10,Jarell Eddie,166256,BOS
11,Kadeem Allen,77250,BOS
12,Jabari Bird,77250,BOS
13,Jonathan Gibson,74158,BOS
14,Gordon Hayward,29727900,BOS
15,Al Horford,27734405,BOS
16,Kyrie Irving,18868626,BOS
17,Jayson Tatum,5645400,BOS
18,Jaylen Brown,4956480,BOS
19,Aron Baynes,4300000,BOS
20,Terry Rozier,1988520,BOS
21,Shane Larkin,1524305,BOS
22,Semi Ojeleye,1291892,BOS
23,Abdel Nader,1167333,BOS
24,Jarell Eddie,166256,BOS
25,Kadeem Allen,77250,BOS
26,Jabari Bird,77250,BOS
27,Jonathan Gibson,74158,BOS
28,Allen Crabbe,18500000,BKN
29,Timofey Mozgov,15280000,BKN
30,DeMarre Carroll,14800000,BKN
31,Jeremy Lin,12000000,BKN
32,Trevor Booker,9571137,BKN
33,D'Angelo Russell,5562360,BKN
34,Jahlil Okafor,4995120,BKN
35,Sean Kilpatrick,4774445,BKN
36,Dante Cunningham,2300000,BKN
37,Jarrett Allen,1713720,BKN
38,Quincy Acy,1709538,BKN
39,Caris LeVert,1632480,BKN
40,Joe Harris,1524305,BKN
41,Spencer Dinwiddie,1524305,BKN
42,Rondae Hollis-Jefferson,1455720,BKN
43,Milton Doyle,127250,BKN
44,Dwight Howard,23500000,CHA
45,Nicolas Batum,22434783,CHA
46,Marvin Williams,13168750,CHA
47,Michael Kidd-Gilchrist,13000000,CHA
48,Cody Zeller,12584270,CHA
49,Kemba Walker,12000000,CHA
50,Jeremy Lamb,7000000,CHA
51,Malik Monk,2904480,CHA
52,Frank Kaminsky,2847600,CHA
53,Michael Carter-Williams,2700000,CHA
54,Willy Hernangomez,1435750,CHA
55,Treveon Graham,1312611,CHA
56,Dwayne Bacon,815615,CHA
57,Mangok Mathiang,77250,CHA
58,Marcus Paige,77250,CHA
59,Dwyane Wade,17878652,CHI
60,Robin Lopez,13788500,CHI
61,Omer Asik,10595505,CHI
62,Cristiano Felicio,7843500,CHI
63,Sean Kilpatrick,4774445,CHI
64,Justin Holiday,4500000,CHI
65,Kris Dunn,4046760,CHI
66,Quincy Pondexter,3853931,CHI
67,Lauri Markkanen,3821640,CHI
68,Zach LaVine,3202217,CHI
69,Cameron Payne,2203440,CHI
70,Jerian Grant,1713840,CHI
71,Bobby Portis,1516320,CHI
72,David Nwaba,1312611,CHI
73,Kay Felder,551866,CHI
74,Jarell Eddie,166256,CHI
75,Antonio Blakeney,77250,CHI
76,Ryan Arcidiacono,77250,CHI
77,LeBron James,33285709,CLE
