,name,sal,team
0,Josh Smith,13200000,ATL
1,Al Horford,12000000,ATL
2,Devin Harris,8500000,ATL
3,Zaza Pachulia,5248750,ATL
4,Kyle Korver,5000000,ATL
5,Anthony Morrow,4000000,ATL
6,Johan Petro,3500000,ATL
7,Dahntay Jones,2900000,ATL
8,John Jenkins,1204560,ATL
9,Ivan Johnson,962195,ATL
10,Shelvin Mack,761800,ATL
11,Jannero Pargo,696446,ATL
12,Paul Pierce,16790345,BOS
13,Kevin Garnett,12467532,BOS
14,Rajon Rondo,11000000,BOS
15,Jeff Green,8100000,BOS
16,Brandon Bass,6500000,BOS
17,Darko Milicic,6457255,BOS
18,Courtney Lee,5000000,BOS
19,Avery Bradley,1630800,BOS
20,Jason Collins,1352181,BOS
21,Fab Melo,1254720,BOS
22,Leandro Barbosa,1229255,BOS
23,Jordan Crawford,1198680,BOS
24,Shavlik Randolph,280286,BOS
25,Kris Joseph,225657,BOS
26,Joe Johnson,19752645,BKN
27,Deron Williams,17177795,BKN
28,Brook Lopez,13668000,BKN
29,Kris Humphries,12000000,BKN
30,Andray Blatche,7972891,BKN
31,Josh Childress,6890056,BKN
32,Reggie Evans,1622618,BKN
33,MarShon Brooks,1193280,BKN
34,Keith Bogans,854389,BKN
35,Kris Joseph,225657,BKN
36,Damion James,50258,BKN
37,Ben Gordon,12400000,CHA
38,Brendan Haywood,8349000,CHA
39,Tyrus Thomas,8000000,CHA
40,DeSagana Diop,7372200,CHA
41,DeSagana Diop,7372200,CHA
42,Ramon Sessions,5000000,CHA
43,Michael Kidd-Gilchrist,4602720,CHA
44,Matt Carroll,3500000,CHA
45,Josh McRoberts,3135000,CHA
46,Gerald Henderson,3101326,CHA
47,Bismack Biyombo,3007920,CHA
48,Cory Higgins,762195,CHA
49,Jannero Pargo,696446,CHA
50,Jeff Adrien,653356,CHA
51,Derrick Rose,16402500,CHI
52,Carlos Boozer,15000000,CHI
53,Luol Deng,13326700,CHI
54,Joakim Noah,11050000,CHI
55,Richard Hamilton,10500000,CHI
56,Kirk Hinrich,3941000,CHI
57,Daequan Cook,3602675,CHI
58,Taj Gibson,2155811,CHI
59,Marco Belinelli,1957000,CHI
60,Nazr Mohammed,1352181,CHI
61,Vladimir Radmanovic,1352181,CHI
62,Nate Robinson,1146337,CHI
63,Jimmy Butler,1097520,CHI
64,Baron Davis,14850000,CLE
65,Anderson Varejao,8400000,CLE
66,Luke Walton,6091363,CLE
67,Kyrie Irving,5530080,CLE
68,Daniel Gibson,4792332,CLE
69,Alonzo Gee,3500000,CLE
70,Omri Casspi,2277306,CLE
71,CJ Miles,2225000,CLE
72,Wayne Ellington,2083042,CLE
73,Shaun Livingston,2038446,CLE
74,Jeremy Pargo,1313845,CLE
75,Jon Leuer,762195,CLE
76,Kevin Jones,390000,CLE
77,Chris Quinn,169339,CLE
78,Dirk Nowitzki,20907128,DAL
79,Shawn Marion,8646364,DAL
80,Brendan Haywood,8349000,DAL
81,Chris Kaman,8000000,DAL
82,O.J. Mayo,4020000,DAL
83,Anthony Morrow,4000000,DAL
84,Vince Carter,3120000,DAL
85,Dahntay Jones,2900000,DAL
86,Darren Collison,2319344,DAL
87,Rodrigue Beaubois,2227332,DAL
88,Derek Fisher,1519214,DAL
89,Dominique Jones,1276560,DAL
90,Jared Cunningham,1156320,DAL
91,Mike James,795400,DAL
92,Jae Crowder,600491,DAL
93,Bernard James,473604,DAL
94,Troy Murphy,226619,DAL
95,Chris Douglas-Roberts,72892,DAL
96,Justin Dentmon,44835,DAL
97,Josh Akognon,41788,DAL
98,Eddy Curry,31629,DAL
99,Andre Iguodala,14718250,DEN
100,JaVale McGee,10000000,DEN
101,Danilo Gallinari,9439000,DEN
102,Wilson Chandler,5930415,DEN
103,Andre Miller,5000000,DEN
104,Corey Brewer,3243000,DEN
105,Kosta Koufos,3000000,DEN
106,Timofey Mozgov,2794621,DEN
107,Ty Lawson,2544528,DEN
108,Anthony Randolph,1674641,DEN
109,Evan Fournier,1361400,DEN
110,Kenneth Faried,1348800,DEN
111,Jordan Hamilton,1153800,DEN
112,Quincy Miller,473604,DEN
113,Jose Calderon,11046591,DET
114,Corey Maggette,10924138,DET
115,Richard Hamilton,10500000,DET
116,Rodney Stuckey,8500000,DET
117,Charlie Villanueva,8060000,DET
118,Jason Maxiell,5000000,DET
119,Jonas Jerebko,4500000,DET
120,Will Bynum,3500000,DET
121,Greg Monroe,3217680,DET
122,Austin Daye,2958444,DET
123,Brandon Knight,2755560,DET
124,Andre Drummond,2356320,DET
125,Kim English,473604,DET
126,Khris Middleton,473604,DET
127,Andrew Bogut,13150000,GSW
128,David Lee,12744000,GSW
129,Richard Jefferson,10164000,GSW
130,Andris Biedrins,9000000,GSW
131,Jarrett Jack,5580000,GSW
132,Carl Landry,4000000,GSW
133,Brandon Rush,4000000,GSW
134,Stephen Curry,3958742,GSW
135,Harrison Barnes,2798040,GSW
136,Festus Ezeli,1020960,GSW
137,Draymond Green,850000,GSW
138,Charles Jenkins,762195,GSW
139,Kent Bazemore,473604,GSW
140,Francisco Garcia,6100000,HOU
141,James Harden,5820416,HOU
142,Omer Asik,5000000,HOU
143,Jeremy Lin,5000000,HOU
144,Daequan Cook,3602675,HOU
145,Thomas Robinson,3374640,HOU
146,Carlos Delfino,3000000,HOU
147,Cole Aldrich,2445480,HOU
148,Patrick Patterson,2096760,HOU
149,Toney Douglas,2067880,HOU
150,Terrence Jones,1485000,HOU
151,Donatas Motiejunas,1361400,HOU
152,James Anderson,902002,HOU
153,Chandler Parsons,888250,HOU
154,Patrick Beverley,298092,HOU
155,Scott Machado,225657,HOU
156,Tim Ohlbrecht,142081,HOU
157,Roy Hibbert,13668750,IND
158,Danny Granger,13058606,IND
159,David West,10000000,IND
160,George Hill,8000000,IND
161,Ian Mahinmi,4000000,IND
162,Gerald Green,3500000,IND
163,Tyler Hansbrough,3055259,IND
164,Paul George,2574120,IND
165,Dominic McGuire,1195578,IND
166,Miles Plumlee,1073280,IND
167,Jeff Ayres,854389,IND
168,Orlando Johnson,550000,IND
169,Ben Hansbrough,473604,IND
170,Chris Paul,17779457,LAC
171,DeAndre Jordan,10532977,LAC
172,Lamar Odom,8200000,LAC
173,Caron Butler,8000000,LAC
174,Blake Griffin,7226891,LAC
175,Jamal Crawford,5000000,LAC
176,Chauncey Billups,3000000,LAC
177,Grant Hill,1957000,LAC
178,Eric Bledsoe,1707720,LAC
179,Willie Green,1375000,LAC
180,Ryan Hollins,1069509,LAC
181,Matt Barnes,854389,LAC
182,Kobe Bryant,27849000,LAL
183,Dwight Howard,19261200,LAL
184,Pau Gasol,19000000,LAL
