,name,sal,team
0,Danilo Gallinari,19500000,ATL
1,Clint Capela,18000000,ATL
2,Bogdan Bogdanovic,18000000,ATL
3,Tony Snell,12178571,ATL
4,Louis Williams,8000000,ATL
5,De'Andre Hunter,7422000,ATL
6,Trae Young,6571800,ATL
7,Onyeka Okongwu,5813640,ATL
8,Kris Dunn,4767000,ATL
9,Cam Reddish,4458000,ATL
10,John Collins,4137302,ATL
11,Kevin Huerter,2761920,ATL
12,Solomon Hill,2174318,ATL
13,Brandon Goodwin,1701593,ATL
14,Bruno Fernando,1517981,ATL
15,Skylar Mays,532218,ATL
16,Nathan Knight,522989,ATL
17,Kemba Walker,34379100,BOS
18,Jaylen Brown,25035118,BOS
19,Evan Fournier,17150000,BOS
20,Marcus Smart,12946428,BOS
21,Jayson Tatum,9897120,BOS
22,Tristan Thompson,9258000,BOS
23,Romeo Langford,3631200,BOS
24,Aaron Nesmith,3458400,BOS
25,Luke Kornet,2250000,BOS
26,Payton Pritchard,2035800,BOS
27,Semi Ojeleye,1752950,BOS
28,Carsen Edwards,1517981,BOS
29,Javonte Green,1517981,BOS
30,Tacko Fall,653924,BOS
31,James Harden,41254920,BKN
32,Kevin Durant,40108950,BKN
33,Kyrie Irving,33722850,BKN
34,LaMarcus Aldridge,17628340,BKN
35,Joe Harris,16071429,BKN
36,Spencer Dinwiddie,11454048,BKN
37,DeAndre Jordan,10375678,BKN
38,Jarrett Allen,3909902,BKN
39,Jeff Green,2564753,BKN
40,Tyler Johnson,2028594,BKN
41,Rodions Kurucs,1780152,BKN
42,Bruce Brown,1663861,BKN
43,Blake Griffin,1200000,BKN
44,Norvel Pelle,1014905,BKN
45,Tyler Cook,693141,BKN
46,Alize Johnson,621587,BKN
47,Reggie Perry,489148,BKN
48,Chris Chiozza,449115,BKN
49,Andre Roberson,411639,BKN
50,Gordon Hayward,28500000,CHA
51,Terry Rozier,18900000,CHA
52,Cody Zeller,15415730,CHA
53,Nicolas Batum,11608231,CHA
54,LaMelo Ball,7839960,CHA
55,Malik Monk,5345687,CHA
56,Miles Bridges,3934320,CHA
57,Bismack Biyombo,3500000,CHA
58,Cody Martin,1517981,CHA
59,Caleb Martin,1517981,CHA
60,Jalen McDaniels,1517981,CHA
61,Nick Richards,1000000,CHA
62,Grant Riller,449115,CHA
63,Nate Darling,449115,CHA
64,Nikola Vucevic,26000000,CHI
65,Zach LaVine,19500000,CHI
66,Thaddeus Young,13545000,CHI
67,Tomas Satoransky,10000000,CHI
68,Al-Farouq Aminu,9720900,CHI
69,Cristiano Felicio,7529020,CHI
70,Lauri Markkanen,6731508,CHI
71,Wendell Carter Jr.,5448840,CHI
