,name,sal,team
0,Paul Millsap,18671659,ATL
1,Al Horford,12000000,ATL
2,Tiago Splitter,8500000,ATL
3,Jeff Teague,8000000,ATL
4,Kyle Korver,5746479,ATL
5,Kris Humphries,4440000,ATL
6,Kirk Hinrich,2870000,ATL
7,Shelvin Mack,2433333,ATL
8,Kent Bazemore,2000000,ATL
9,Mike Muscala,947276,ATL
10,Justin Holiday,947276,ATL
11,Lamar Patterson,525093,ATL
12,David Lee,17120776,BOS
13,Amir Johnson,12000000,BOS
14,Avery Bradley,7730337,BOS
15,Isaiah Thomas,6912869,BOS
16,Jae Crowder,6796117,BOS
17,Jonas Jerebko,5000000,BOS
18,Kelly Olynyk,2165160,BOS
19,Terry Rozier,1824360,BOS
20,Jordan Mickey,1170960,BOS
21,RJ Hunter,1148640,BOS
22,Coty Clarke,61774,BOS
23,Joe Johnson,22309344,BKN
24,Brook Lopez,19689000,BKN
25,Thaddeus Young,11235955,BKN
26,Deron Williams,10853761,BKN
27,Jarrett Jack,6300000,BKN
28,Bojan Bogdanovic,3425510,BKN
29,Sergey Karasev,1599840,BKN
30,Shane Larkin,1500000,BKN
31,Wayne Ellington,1500000,BKN
32,Andrea Bargnani,1362897,BKN
33,Rondae Hollis-Jefferson,1335480,BKN
34,Chris McCullough,1140240,BKN
35,Thomas Robinson,981348,BKN
36,Markel Brown,845059,BKN
37,Willie Reed,525093,BKN
38,Sean Kilpatrick,320594,BKN
39,Al Jefferson,13500000,CHA
40,Kemba Walker,12000000,CHA
41,Nicolas Batum,11860750,CHA
42,Marvin Williams,7000000,CHA
43,Michael Kidd-Gilchrist,6331403,CHA
44,Courtney Lee,5675000,CHA
45,Spencer Hawes,5543725,CHA
46,Jeremy Lamb,3034356,CHA
47,Brian Roberts,2854940,CHA
48,Frank Kaminsky,2612520,CHA
49,Jeremy Lin,2139000,CHA
50,PJ Hairston,1201440,CHA
51,Tyler Hansbrough,1185784,CHA
52,Troy Daniels,947276,CHA
53,Aaron Harrison,525093,CHA
