,name,sal,team
0,Al Horford,12000000,ATL
1,Paul Millsap,9500000,ATL
2,Jeff Teague,8000000,ATL
3,Kyle Korver,6760563,ATL
4,Louis Williams,5000000,ATL
5,Elton Brand,4000000,ATL
6,DeMarre Carroll,2500000,ATL
7,Gustavo Ayon,1500000,ATL
8,Jared Cunningham,1301208,ATL
9,John Jenkins,1258800,ATL
10,Pero Antic,1200000,ATL
11,Cartier Martin,1003248,ATL
12,Shelvin Mack,884293,ATL
13,Mike Muscala,161471,ATL
14,Dexter Pittman,107776,ATL
15,James Nunnally,57668,ATL
16,Rajon Rondo,12000000,BOS
17,Kris Humphries,12000000,BOS
18,Gerald Wallace,10105855,BOS
19,Jeff Green,8700000,BOS
20,Brandon Bass,6750000,BOS
21,Keith Bogans,5058198,BOS
22,Joel Anthony,3800000,BOS
23,Jerryd Bayless,3135000,BOS
24,Avery Bradley,2511432,BOS
25,Jordan Crawford,2162418,BOS
26,Vitor Faverani,2000000,BOS
27,Kelly Olynyk,1986360,BOS
28,MarShon Brooks,1276560,BOS
29,Phil Pressey,490180,BOS
30,Chris Babb,138403,BOS
31,Vander Blue,28834,BOS
32,Joe Johnson,21466718,BKN
33,Deron Williams,19754465,BKN
34,Paul Pierce,15333334,BKN
35,Brook Lopez,14694000,BKN
36,Kevin Garnett,11532468,BKN
37,Andray Blatche,9170525,BKN
38,Andrei Kirilenko,3183000,BKN
39,Reggie Evans,1695636,BKN
40,Mason Plumlee,1298640,BKN
41,Shaun Livingston,1265977,BKN
42,Alan Anderson,947907,BKN
43,Jason Collins,436316,BKN
44,Jorge Gutierrez,121103,BKN
45,Al Jefferson,13500000,CHA
46,Ben Gordon,13200000,CHA
47,Tyrus Thomas,9460664,CHA
48,Gerald Henderson,6000000,CHA
49,Michael Kidd-Gilchrist,4809840,CHA
50,Luke Ridnour,4320000,CHA
51,Gary Neal,3250000,CHA
52,Bismack Biyombo,3217680,CHA
53,Josh McRoberts,2652000,CHA
54,Jannero Pargo,1399507,CHA
55,Jeff Adrien,916099,CHA
56,Chris Douglas-Roberts,535288,CHA
57,Justin Hamilton,126870,CHA
58,Derrick Rose,17632688,CHI
59,Carlos Boozer,15300000,CHI
60,Joakim Noah,11600000,CHI
61,Taj Gibson,7550000,CHI
62,Kirk Hinrich,4059000,CHI
63,Mike Dunleavy,3000000,CHI
64,Jimmer Fredette,2813399,CHI
65,Nazr Mohammed,1399507,CHI
66,Ronnie Brewer,1256250,CHI
67,Jimmy Butler,1174080,CHI
68,Cartier Martin,1003248,CHI
69,Mike James,889097,CHI
70,Erik Murphy,455580,CHI
71,Luol Deng,14312125,CLE
72,Anderson Varejao,9800000,CLE
73,Spencer Hawes,6500000,CLE
74,Jarrett Jack,6300000,CLE
75,Kyrie Irving,5915880,CLE
76,Anthony Bennett,5324280,CLE
77,Earl Clark,4361518,CLE
78,Alonzo Gee,3250000,CLE
79,CJ Miles,2225000,CLE
80,Sergey Karasev,1467840,CLE
81,Scotty Hopson,1350000,CLE
82,Matthew Dellavedova,490180,CLE
83,Carrick Felix,490180,CLE
84,Arinze Onuaku,106776,CLE
85,Seth Curry,66318,CLE
86,Shane Edwards,28834,CLE
87,Ty Lawson,10786517,DEN
88,JaVale McGee,10750000,DEN
89,Brendan Haywood,9798000,DEN
90,Wilson Chandler,6344164,DEN
91,JJ Hickson,5150000,DEN
92,Andre Miller,5000000,DEN
93,Timofey Mozgov,4400000,DEN
94,Darrell Arthur,3231683,DEN
95,Randy Foye,3000000,DEN
96,Nate Robinson,2016000,DEN
97,Anthony Randolph,1750000,DEN
98,Kenneth Faried,1442880,DEN
99,Evan Fournier,1422720,DEN
100,Jordan Hamilton,1234320,DEN
101,Aaron Brooks,1027424,DEN
102,Quincy Miller,788872,DEN
103,Josh Smith,14000000,DET
104,Charlie Villanueva,8580000,DET
105,Rodney Stuckey,8500000,DET
106,Brandon Jennings,7655503,DET
107,Jonas Jerebko,4500000,DET
108,Greg Monroe,4086453,DET
109,Will Bynum,2790343,DET
110,Kentavious Caldwell-Pope,2653080,DET
111,Chauncey Billups,2500000,DET
112,Andre Drummond,2462400,DET
113,Gigi Datome,1750000,DET
114,Josh Harrellson,884293,DET
115,Dirk Nowitzki,22721381,DAL
116,Shawn Marion,9316796,DAL
117,Monta Ellis,8360000,DAL
118,Jose Calderon,6791570,DAL
119,Samuel Dalembert,3700748,DAL
120,Vince Carter,3180000,DAL
121,Wayne Ellington,2500000,DAL
122,Shane Larkin,1536960,DAL
123,Devin Harris,1272279,DAL
124,DeJuan Blair,941000,DAL
125,Jae Crowder,788872,DAL
126,Bernard James,788872,DAL
127,Ricky Ledo,550000,DAL
128,Gal Mekel,490180,DAL
145,Andrew Bogut,14200000,GSW
146,David Lee,13878000,GSW
147,Andre Iguodala,12868632,GSW
148,Stephen Curry,9887642,GSW
149,Steve Blake,4000000,GSW
150,Marreese Speights,3500000,GSW
151,Klay Thompson,3245151,GSW
152,Harrison Barnes,2923920,GSW
153,Jordan Crawford,2162418,GSW
154,Jermaine O'Neal,2000000,GSW
155,Toney Douglas,1600000,GSW
156,MarShon Brooks,1276560,GSW
157,Nemanja Nedovic,1056720,GSW
158,Draymond Green,875500,GSW
159,Kent Bazemore,762195,GSW
160,Ognjen Kuzmic,490180,GSW
161,Hilton Armstrong,296138,GSW
162,Dewayne Dedmon,256623,GSW
163,Dwight Howard,20513178,HOU
164,James Harden,13668750,HOU
165,Jeremy Lin,5225000,HOU
166,Omer Asik,5225000,HOU
167,Terrence Jones,1551840,HOU
168,Donatas Motiejunas,1422720,HOU
169,Francisco Garcia,1265977,HOU
170,Ronnie Brewer,1256250,HOU
171,Jordan Hamilton,1234320,HOU
172,Aaron Brooks,1027424,HOU
173,Omri Casspi,947907,HOU
174,Chandler Parsons,926500,HOU
