,name,sal,team
0,Kent Bazemore,18089888,ATL
1,Jeremy Lin,12516746,ATL
2,Miles Plumlee,12400000,ATL
3,Dewayne Dedmon,6300000,ATL
4,Alex Len,4350000,ATL
5,Taurean Prince,2526840,ATL
6,Justin Anderson,2516047,ATL
7,Vince Carter,2393887,ATL
8,John Collins,2299080,ATL
9,Kevin Huerter,2250960,ATL
10,Deyonta Davis,1741503,ATL
11,Tyler Dorsey,1378242,ATL
12,Daniel Hamilton,1349383,ATL
13,Jaylen Adams,236854,ATL
14,BJ Johnson,142111,ATL
15,Alex Poythress,77250,ATL
16,Isaac Humphries,47370,ATL
17,Gordon Hayward,31214295,BOS
18,Al Horford,28928710,BOS
19,Kyrie Irving,20099189,BOS
20,Marcus Smart,11160716,BOS
21,Jayson Tatum,6700800,BOS
22,Aron Baynes,5193600,BOS
23,Jaylen Brown,5169960,BOS
24,Terry Rozier,3050389,BOS
25,Greg Monroe,2410167,BOS
26,Semi Ojeleye,1378242,BOS
27,PJ Dozier,77250,BOS
28,RJ Hunter,77250,BOS
29,Dwight Howard,24256725,BKN
30,Allen Crabbe,19332500,BKN
31,DeMarre Carroll,15400000,BKN
32,Kenneth Faried,14242782,BKN
33,Jared Dudley,9530000,BKN
34,Joe Harris,8333333,BKN
35,D'Angelo Russell,7019698,BKN
36,Ed Davis,4449000,BKN
37,Rondae Hollis-Jefferson,2470356,BKN
38,Jarrett Allen,2034120,BKN
39,Shabazz Napier,1942422,BKN
40,Caris LeVert,1702800,BKN
41,Rodions Kurucs,1690000,BKN
42,Spencer Dinwiddie,1656092,BKN
43,Dzanan Musa,1634400,BKN
44,Treveon Graham,1512601,BKN
45,Theo Pinson,77250,BKN
46,Mitchell Creek,47370,BKN
47,Tahjere McCall,47370,BKN
48,Nicolas Batum,24000000,CHA
49,Bismack Biyombo,17000000,CHA
50,Marvin Williams,14087500,CHA
51,Cody Zeller,13528090,CHA
52,Michael Kidd-Gilchrist,13000000,CHA
53,Jeremy Lamb,7000000,CHA
54,Tony Parker,5000000,CHA
55,Frank Kaminsky,3627842,CHA
56,Malik Monk,3447480,CHA
57,Miles Bridges,3206640,CHA
58,Shelvin Mack,2512601,CHA
59,Willy Hernangomez,1496500,CHA
60,Dwayne Bacon,1378242,CHA
61,Joe Chealey,77250,CHA
62,Otto Porter,26000000,CHI
63,Zach LaVine,19500000,CHI
64,Robin Lopez,14357750,CHI
65,Omer Asik,11200000,CHI
66,Cristiano Felicio,8470980,CHI
67,Lauri Markkanen,4536120,CHI
68,Justin Holiday,4500000,CHI
69,Wendell Carter Jr.,4446840,CHI
