,name,sal,team
0,Joe Johnson,18038573,ATL
1,Josh Smith,12400000,ATL
2,Al Horford,12000000,ATL
3,Kirk Hinrich,8100000,ATL
4,Marvin Williams,7500000,ATL
5,Zaza Pachulia,4750000,ATL
6,Jason Collins,1352181,ATL
7,Tracy McGrady,1352181,ATL
8,Vladimir Radmanovic,1352181,ATL
9,Jannero Pargo,1223166,ATL
10,Willie Green,1223166,ATL
11,Erick Dampier,850522,ATL
12,Ivan Johnson,473604,ATL
13,Kevin Garnett,21247044,BOS
14,Paul Pierce,15333334,BOS
15,Rajon Rondo,10045455,BOS
16,Ray Allen,10000000,BOS
17,Jermaine O'Neal,6226200,BOS
18,Brandon Bass,4250000,BOS
19,Ryan Hollins,2483333,BOS
20,Keyon Dooling,2246400,BOS
21,Avery Bradley,1524480,BOS
22,Marquis Daniels,1223166,BOS
23,JaJuan Johnson,1042320,BOS
24,E'Twaun Moore,473604,BOS
25,Corey Maggette,10262069,CHA
26,Boris Diaw,9000000,CHA
27,Tyrus Thomas,7305765,CHA
28,DeSagana Diop,6925400,CHA
29,Matt Carroll,3900000,CHA
30,Bismack Biyombo,2798040,CHA
31,Eduardo Najera,2750000,CHA
32,Gerald Henderson,2250600,CHA
33,Derrick Brown,854389,CHA
34,Cory Higgins,473604,CHA
35,Carlos Boozer,13500000,CHI
36,Luol Deng,12325000,CHI
37,Joakim Noah,12000000,CHI
38,Derrick Rose,6993708,CHI
39,Kyle Korver,5000000,CHI
40,Ronnie Brewer,4710000,CHI
41,Omer Asik,1857500,CHI
42,Taj Gibson,1195680,CHI
43,Jimmy Butler,1020960,CHI
44,Mike James,277566,CHI
45,Baron Davis,15252181,CLE
46,Antawn Jamison,15076715,CLE
47,Anderson Varejao,7700000,CLE
48,Kyrie Irving,5144280,CLE
49,Daniel Gibson,4403834,CLE
50,Ramon Sessions,4257973,CLE
51,Tristan Thompson,3726600,CLE
52,Ryan Hollins,2483333,CLE
53,Anthony Parker,2250000,CLE
54,Omri Casspi,1341960,CLE
55,Christian Eyenga,1097520,CLE
56,Alonzo Gee,854389,CLE
57,Semih Erden,762195,CLE
58,Luke Harangody,762195,CLE
59,Manny Harris,122942,CLE
60,Dirk Nowitzki,19092873,DAL
61,Jason Terry,11158000,DAL
62,Jason Kidd,10121000,DAL
63,Lamar Odom,8900000,DAL
64,Shawn Marion,8022449,DAL
65,Brendan Haywood,7624500,DAL
66,Brian Cardinal,1352181,DAL
67,Rodrigue Beaubois,1236720,DAL
68,Dominique Jones,1193280,DAL
69,Ian Mahinmi,915852,DAL
70,Brandan Wright,915852,DAL
71,Sean Williams,885120,DAL
72,Nene,13000000,DEN
73,Andre Miller,7807728,DEN
74,Arron Afflalo,7562500,DEN
75,Al Harrington,6226200,DEN
76,Chris Andersen,4234000,DEN
77,Danilo Gallinari,4190182,DEN
78,Timofey Mozgov,3343896,DEN
79,Corey Brewer,3059000,DEN
80,JaVale McGee,2462400,DEN
81,Kosta Koufos,2203792,DEN
82,Rudy Fernandez,2180443,DEN
83,Ty Lawson,1654440,DEN
84,Kenneth Faried,1254720,DEN
85,Jordan Hamilton,1073286,DEN
86,DeMarre Carroll,833713,DEN
87,Richard Hamilton,17500000,DET
88,Ben Gordon,11600000,DET
89,Rodney Stuckey,8500000,DET
90,Charlie Villanueva,7540000,DET
91,Tayshaun Prince,6292135,DET
92,Jason Maxiell,5000000,DET
93,Jonas Jerebko,4500000,DET
94,Will Bynum,3250000,DET
95,Greg Monroe,3007920,DET
96,Brandon Knight,2563320,DET
97,Austin Daye,1929600,DET
98,Vernon Macklin,473604,DET
99,Walker Russell,374289,DET
100,David Lee,11610000,GSW
101,Monta Ellis,11000000,GSW
102,Andris Biedrins,9000000,GSW
103,Kwame Brown,6750000,GSW
104,Nate Robinson,5483307,GSW
105,Charlie Bell,4099920,GSW
106,Dorell Wright,3823000,GSW
107,Stephen Curry,3117120,GSW
108,Brandon Rush,2956658,GSW
109,Dominic McGuire,915852,GSW
110,Charles Jenkins,473604,GSW
111,Mickell Gladness,248263,GSW
112,Earl Barron,185588,GSW
113,Kevin Martin,11519840,HOU
114,Luis Scola,8591793,HOU
115,Samuel Dalembert,7000000,HOU
116,Kyle Lowry,5750000,HOU
117,Hasheem Thabeet,5127720,HOU
118,Jonny Flynn,3414720,HOU
119,Jordan Hill,2855760,HOU
120,Courtney Lee,2225093,HOU
121,Goran Dragic,2108000,HOU
122,Patrick Patterson,1959960,HOU
123,Chase Budinger,854389,HOU
124,Chandler Parsons,850000,HOU
125,Jeff Adrien,270427,HOU
126,Courtney Fortson,42009,HOU
127,Danny Granger,12015904,IND
128,David West,10000000,IND
129,James Posey,7595600,IND
130,Jeff Foster,3000000,IND
131,Dahntay Jones,2700000,IND
132,Roy Hibbert,2588590,IND
133,Paul George,2406240,IND
134,Tyler Hansbrough,2138040,IND
135,George Hill,2086360,IND
136,Jeff Ayres,1500000,IND
137,Darren Collison,1455960,IND
138,AJ Price,854389,IND
139,Chris Paul,16359805,LAC
140,DeAndre Jordan,10079404,LAC
141,Maurice Williams,8500000,LAC
142,Caron Butler,8000000,LAC
143,Blake Griffin,5731080,LAC
144,Randy Foye,4250000,LAC
145,Ryan Gomes,4000000,LAC
146,Kenyon Martin,2500000,LAC
147,Eric Bledsoe,1596360,LAC
148,Reggie Evans,1229255,LAC
149,Brian Cook,1223166,LAC
150,Travis Leslie,473604,LAC
151,Solomon Jones,440353,LAC
152,Courtney Fortson,42009,LAC
153,Kobe Bryant,25244493,LAL
154,Pau Gasol,18714150,LAL
155,Andrew Bynum,14900000,LAL
156,Metta World Peace,6790640,LAL
157,Luke Walton,5680000,LAL
158,Steve Blake,4000000,LAL
159,Derek Fisher,3400000,LAL
160,Josh McRoberts,3000000,LAL
161,Jordan Hill,2855760,LAL
162,Matt Barnes,1906200,LAL
163,Troy Murphy,1352181,LAL
164,Jason Kapono,1223166,LAL
165,Christian Eyenga,1097520,LAL
166,Devin Ebanks,762195,LAL
167,Darius Morris,473604,LAL
168,Andrew Goudelock,473604,LAL
169,Zach Randolph,15200000,MEM
170,Rudy Gay,15032144,MEM
171,Marc Gasol,12922194,MEM
172,Mike Conley,6611571,MEM
173,O.J. Mayo,5632637,MEM
174,Tony Allen,3150000,MEM
175,Dante Cunningham,2000000,MEM
176,Hamed Haddadi,1300000,MEM
177,Quincy Pondexter,1153800,MEM
178,Jeremy Pargo,1000000,MEM
179,Josh Davis,314041,MEM
180,LeBron James,16022500,MIA
181,Chris Bosh,16022500,MIA
182,Dwyane Wade,15691000,MIA
183,Mike Miller,5400000,MIA
184,Mario Chalmers,4000000,MIA
185,Udonis Haslem,3780000,MIA
186,Joel Anthony,3600000,MIA
187,Shane Battier,3000000,MIA
188,James Jones,1500000,MIA
189,Juwan Howard,1352181,MIA
190,Eddy Curry,1229255,MIA
191,Norris Cole,1035960,MIA
192,Dexter Pittman,762195,MIA
193,Terrel Harris,473604,MIA
194,Mickell Gladness,248263,MIA
195,Andrew Bogut,12000000,MIL
196,Stephen Jackson,9256500,MIL
197,Beno Udrih,6925400,MIL
198,Drew Gooden,6226200,MIL
199,Luc Mbah a Moute,5000000,MIL
200,Mike Dunleavy,3750000,MIL
201,Shaun Livingston,3500000,MIL
202,Carlos Delfino,3500000,MIL
203,Ersan Ilyasova,2541000,MIL
204,Brandon Jennings,2493720,MIL
205,Tobias Harris,1418160,MIL
206,Jon Brockman,1000000,MIL
207,Jon Leuer,473604,MIL
208,Darington Hobson,245884,MIL
209,Michael Beasley,6262347,MIN
210,Martell Webster,5256000,MIN
211,Darko Milicic,4776500,MIN
212,Brad Miller,4752000,MIN
213,Kevin Love,4609701,MIN
214,Derrick Williams,4602720,MIN
215,Nikola Pekovic,4503600,MIN
216,Wesley Johnson,4006080,MIN
217,Luke Ridnour,3680000,MIN
218,Ricky Rubio,3480120,MIN
219,Anthony Randolph,2911231,MIN
220,Wayne Ellington,1154040,MIN
221,Malcolm Lee,500000,MIN
222,Carmelo Anthony,18518574,NYK
223,Amare Stoudemire,18200000,NYK
224,Chauncey Billups,14200000,NYK
225,Tyson Chandler,13107837,NYK
226,JR Smith,2382353,NYK
227,Renaldo Balkman,1675000,NYK
228,Mike Bibby,1352181,NYK
229,Jared Jeffries,1229255,NYK
230,Toney Douglas,1145640,NYK
231,Steve Novak,992680,NYK
232,Landry Fields,762195,NYK
233,Jeremy Lin,762195,NYK
234,Josh Harrellson,473604,NYK
235,Jerome Jordan,473604,NYK
