,name,sal,team
0,Al Horford,12000000,ATL
1,Paul Millsap,9500000,ATL
2,Jeff Teague,8000000,ATL
3,Kyle Korver,6253521,ATL
4,Thabo Sefolosha,4000000,ATL
5,Mike Scott,3333333,ATL
6,DeMarre Carroll,2500000,ATL
7,Shelvin Mack,2433333,ATL
8,Kent Bazemore,2000000,ATL
9,Elton Brand,2000000,ATL
10,Adreian Payne,1855320,ATL
11,John Jenkins,1312920,ATL
12,Austin Daye,1263550,ATL
13,Pero Antic,1250000,ATL
14,Mike Muscala,816482,ATL
15,Gerald Wallace,10105855,BOS
16,Isaiah Thomas,7238606,BOS
17,Avery Bradley,7191011,BOS
18,Brandon Bass,6950000,BOS
19,Jameer Nelson,4750000,BOS
20,Jonas Jerebko,4500000,BOS
21,Kelly Olynyk,2075760,BOS
22,Gigi Datome,1750000,BOS
23,Shavlik Randolph,1227985,BOS
24,Jae Crowder,915243,BOS
25,Phil Pressey,816482,BOS
26,Dwight Powell,507336,BOS
27,Joe Johnson,23180790,BKN
28,Deron Williams,19754465,BKN
29,Brook Lopez,15719000,BKN
30,Kevin Garnett,12000000,BKN
31,Thaddeus Young,9160870,BKN
32,Jarrett Jack,6300000,BKN
33,Andrei Kirilenko,3326235,BKN
34,Bojan Bogdanovic,3278000,BKN
35,Sergey Karasev,1533840,BKN
36,Mason Plumlee,1357080,BKN
37,Alan Anderson,1276061,BKN
38,Jorge Gutierrez,960566,BKN
39,Jerome Jordan,816482,BKN
40,Darius Morris,803149,BKN
41,Markel Brown,507336,BKN
42,Cory Jefferson,507336,BKN
43,Brandon Davies,129676,BKN
44,Earl Clark,125104,BKN
45,Al Jefferson,13500000,CHA
46,Tyrus Thomas,9460664,CHA
47,Lance Stephenson,9000000,CHA
48,Marvin Williams,7000000,CHA
49,Gerald Henderson,6000000,CHA
50,Michael Kidd-Gilchrist,5016960,CHA
51,Bismack Biyombo,4086453,CHA
52,Gary Neal,3250000,CHA
53,Brian Roberts,2732000,CHA
54,Jannero Pargo,1448490,CHA
55,Jason Maxiell,1316809,CHA
56,PJ Hairston,1149720,CHA
57,Troy Daniels,816482,CHA
58,Derrick Rose,18862876,CHI
59,Carlos Boozer,16800000,CHI
60,Joakim Noah,12700000,CHI
61,Taj Gibson,8000000,CHI
62,Pau Gasol,7128000,CHI
63,Nikola Mirotic,5305000,CHI
64,Mike Dunleavy,3000000,CHI
65,Kirk Hinrich,2730000,CHI
66,Doug McDermott,2277960,CHI
67,Jimmy Butler,2119214,CHI
68,Nazr Mohammed,1448490,CHI
69,E'Twaun Moore,948163,CHI
70,Aaron Brooks,915243,CHI
71,Cameron Bairstow,507336,CHI
72,LeBron James,20644400,CLE
73,Kevin Love,15719063,CLE
74,Anderson Varejao,9800000,CLE
75,Brendan Haywood,9798000,CLE
76,Tristan Thompson,9258000,CLE
77,Kyrie Irving,7459924,CLE
78,JR Smith,5982375,CLE
79,Timofey Mozgov,4650000,CLE
80,James Jones,1448490,CLE
81,Shawn Marion,1448490,CLE
82,Joe Harris,884879,CLE
83,Matthew Dellavedova,816482,CLE
84,AJ Price,493917,CLE
85,Alex Kirk,214871,CLE
86,Will Cherry,106567,CLE
87,Chandler Parsons,14700000,DAL
88,Tyson Chandler,14596888,DAL
89,Rajon Rondo,12909090,DAL
90,Monta Ellis,8720000,DAL
91,Dirk Nowitzki,7974482,DAL
92,Jameer Nelson,4750000,DAL
93,Raymond Felton,4360000,DAL
94,Devin Harris,3878896,DAL
95,Richard Jefferson,1448490,DAL
96,Bernard James,1259775,DAL
97,Al-Farouq Aminu,981084,DAL
98,Ricky Ledo,960566,DAL
99,Jae Crowder,915243,DAL
100,Dwight Powell,507336,DAL
101,Ty Lawson,11595506,DEN
102,JaVale McGee,11250000,DEN
103,Danilo Gallinari,10854850,DEN
104,Arron Afflalo,7562500,DEN
105,Wilson Chandler,6754913,DEN
106,JJ Hickson,5381750,DEN
107,Jameer Nelson,4750000,DEN
108,Timofey Mozgov,4650000,DEN
109,Darrell Arthur,3457149,DEN
110,Randy Foye,3000000,DEN
111,Kenneth Faried,2373537,DEN
112,Nate Robinson,2106720,DEN
113,Joffrey Lauvergne,1790281,DEN
114,Jusuf Nurkic,1762680,DEN
115,Gary Harris,1519200,DEN
116,Alonzo Gee,1063384,DEN
117,Will Barton,915243,DEN
118,Jamaal Franklin,864510,DEN
119,Ian Clark,816481,DEN
120,Erick Green,507336,DEN
121,Josh Smith,14945778,DET
122,Brandon Jennings,8000000,DET
123,Ersan Ilyasova,7900000,DET
124,Tayshaun Prince,7707865,DET
125,Jodie Meeks,6000000,DET
126,Greg Monroe,5479933,DET
127,Jonas Jerebko,4500000,DET
128,Caron Butler,4500000,DET
129,Joel Anthony,3800000,DET
130,Kentavious Caldwell-Pope,2772480,DET
131,Andre Drummond,2568360,DET
132,Reggie Jackson,2325680,DET
133,Gigi Datome,1750000,DET
134,Cartier Martin,1145685,DET
135,Spencer Dinwiddie,700000,DET
136,Quincy Miller,398393,DET
137,David Lee,15012000,GSW
138,Andrew Bogut,12972973,GSW
139,Andre Iguodala,12289544,GSW
140,Stephen Curry,10629213,GSW
141,Shaun Livingston,5305000,GSW
142,Harrison Barnes,3049920,GSW
143,Leandro Barbosa,1448490,GSW
144,Brandon Rush,1145685,GSW
145,Festus Ezeli,1112880,GSW
146,Draymond Green,915243,GSW
147,Ognjen Kuzmic,816482,GSW
148,Justin Holiday,816482,GSW
149,James Michael McAdoo,259634,GSW
150,Dwight Howard,21436271,HOU
151,James Harden,14693906,HOU
152,Trevor Ariza,8600000,HOU
153,Jason Terry,5450000,HOU
154,Kostas Papanikolaou,4797664,HOU
155,Corey Brewer,4702500,HOU
156,Pablo Prigioni,1662961,HOU
157,Terrence Jones,1618680,HOU
158,Donatas Motiejunas,1483920,HOU
